,msa,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,msa_name,msa_state,code
0,"Abilene, TX",3.7,6.3,4.4,4.4,3.1,3,1.8,0.6,5.9,5.3,6.5,Abilene,TX,10180
1,"Albuquerque, NM",8.9,8.2,7.6,7.9,5.8,5,5.9,5.9,4.8,6.1,8.3,Albuquerque,NM,10740
2,"Altoona, PA",0.8,2.4,3.2,2.4,0.8,1.6,4.7,1.6,0.8,0.8,0.8,Altoona,PA,11020
3,"Amarillo, TX",2.9,7.8,6.1,5.3,5.7,4.7,4.2,3.5,3.8,3.4,5.3,Amarillo,TX,11100
4,"Ames, IA",0,2.5,5.8,0,1.1,0,0,0,0,1,1,Ames,IA,11180
5,"Anchorage, AK",5.8,7.2,3.3,4.6,4.2,4.2,4.8,4.8,4.1,8.2,8.9,Anchorage,AK,11260
6,"Ann Arbor, MI",2.6,1.7,3.1,1.7,1.4,2.3,1.4,3.1,1.4,1.9,0.6,Ann Arbor,MI,11460
7,"Appleton, WI",0.9,0.5,0.9,1.4,0,0.9,0.4,0.4,0,0.4,1.7,Appleton,WI,11540
8,"Athens-Clarke County, GA",5,6.4,2.6,5.8,4.2,3.1,3.1,1,2,2.5,2.9,Athens-Clarke County,GA,12020
9,"Bangor, ME",2,2.1,1.3,2.7,2,4.5,5.2,3.9,2.6,2,0,Bangor,ME,12620
10,"Barnstable Town, MA",1.8,0.9,0.9,1.8,0.5,1.4,0.5,0.9,1.4,1.4,0.5,Barnstable Town,MA,12700
11,"Bay City, MI",1.8,3.7,2.8,2.8,0.9,2.8,0.9,1.9,1.9,0,2.9,Bay City,MI,13020
12,"Beaumont-Port Arthur, TX",4.6,7.7,4.8,5,5.6,6.6,5.8,8.6,8.1,6.9,6.6,Beaumont-Port Arthur,TX,13140
13,"Billings, MT",2,1.3,2,2,1.9,1.9,1.9,2.4,7.2,5.9,1.8,Billings,MT,13740
14,"Binghamton, NY",2.4,1.6,0.8,7,2.5,1.2,2.8,3.2,1.6,2.8,2.5,Binghamton,NY,13780
15,"Bismarck, ND",2,1,1.9,2.8,1.8,2.7,3.3,2.4,2.4,3.1,2.3,Bismarck,ND,13900
16,"Bloomington, IN",2.2,2.2,2.2,1.6,2.1,3.1,2.5,1.8,0.6,1.8,3,Bloomington,IN,14020
17,"Bowling Green, KY",4.5,0.9,0,2.5,0,2.4,2.5,1.2,0.6,0.6,3.5,Bowling Green,KY,14540
18,"Bremerton-Silverdale, WA",1.2,0.4,2.1,1.7,0.4,1.2,1.9,0.8,2.7,3.1,0.4,Bremerton-Silverdale,WA,14740
19,"Brownsville-Harlingen, TX",3.1,4,3.3,2,2.7,1.9,3.1,1.4,1.2,1.6,1.9,Brownsville-Harlingen,TX,15180
20,"Burlington, NC",4.2,6.2,2.7,2.7,5.9,2,2.6,1.9,1.9,5.1,6.9,Burlington,NC,15500
21,"Cape Coral-Fort Myers, FL",8.7,8,7.6,6.6,4.5,6.1,7,3.8,6.6,4.4,5.7,Cape Coral-Fort Myers,FL,15980
22,"Carson City, NV",3.5,1.8,0,0,0,7.2,0,7.3,1.8,1.8,1.8,Carson City,NV,16180
23,"Casper, WY",2.8,5.6,1.4,0,3.9,2.6,3.9,3.8,3.7,1.2,0,Casper,WY,16220
24,"Cedar Rapids, IA",2.8,1.2,2,0.4,0.8,0.8,1.5,1.5,3.8,3,1.9,Cedar Rapids,IA,16300
25,"Charlottesville, VA",2.1,2.6,4.6,0.5,3,2.9,2.7,1.8,4,1.3,1.3,Charlottesville,VA,16820
26,"Cheyenne, WY",2.3,1.2,3.4,4.5,0,2.2,2.1,1,3.1,7.2,8.2,Cheyenne,WY,16940
27,"Chico, CA",5.1,4.2,3.2,4.5,3.2,3.6,4.9,5.8,4.9,3.1,1.8,Chico,CA,17020
28,"Clarksville, TN-KY",4.9,5.7,2.6,7.5,5.9,4,6.4,5,6.2,6,6.7,Clarksville,"TN,KY",17300
29,"Cleveland, TN",0.9,2.7,2.7,2.6,0,6,4.2,0.8,1.7,6.6,2.5,Cleveland,TN,17420
30,"College Station-Bryan, TX",4.1,3.6,4.9,2.4,3.7,2.1,2.6,2.1,2.1,4.5,2,College Station-Bryan,TX,17780
31,"Colorado Springs, CO",3,4.9,5,3.3,3.7,4.7,3,6.2,3.3,3.7,4.5,Colorado Springs,CO,17820
32,"Columbia, MO",1.9,3.2,4.3,1.8,2.4,2.3,1.8,2.9,3.5,3.4,3.4,Columbia,MO,17860
33,"Columbus, GA-AL",6.8,10,12.4,5.6,7,8,6.2,9.5,9,6.9,10.4,Columbus,"GA,AL",17980
34,"Columbus, IN",4.1,2.7,2.7,0,0,1.3,1.3,6.2,0,1.2,0,Columbus,IN,18020
35,"Corpus Christi, TX",5.9,5.5,5.1,3.6,5,4.1,5.3,5.4,6.7,5.1,7.7,Corpus Christi,TX,18580
36,"Cumberland, MD-WV",1,1,5.1,2,5,5.8,3.9,3.9,3,4,6.1,Cumberland,"MD,WV",19060
37,"Dalton, GA",1.5,2.2,0.7,1.5,3.8,1.4,2.8,1.4,2.8,2.1,0,Dalton,GA,19140
38,"Dayton, OH",5.3,4.7,5.2,5.6,4.9,6.1,3.9,5.5,4.2,4.6,7.9,Dayton,OH,19380
39,"Decatur, AL",4.7,0,4,1.3,2.6,1.9,1.3,4.5,1.3,3.9,3.3,Decatur,AL,19460
40,"Deltona-Daytona Beach-Ormond Beach, FL",4.2,4,3,3.8,3.4,4.4,3.3,4.3,2,3.9,3,Deltona-Daytona Beach-Ormond Beach,FL,19660
41,"Des Moines-West Des Moines, IA",1.5,1.3,2.9,1.2,1.6,1.6,1.4,2.3,1.8,3.4,4,Des Moines-West Des Moines,IA,19780
42,"Dover, DE",5.5,3.3,5.1,2.5,3.7,4.3,2.4,2.4,2.9,6.3,3.4,Dover,DE,20100
